"Gene","metaRanking","RP"
"DMRTC1B",908,1644
"RNA5SP292",909,1647
"RNU6-697P",910,1648
"RN7SKP195",911,1650
"MACROD2-IT1",912,1652
"RPS25",913,1653
"RN7SKP153",914,1656
"EMC1",915,1657
"RNU6-1276P",916,1658
"RNU11-3P",917,1660
"RNU6-66P",918,1662
"EFTUD2",919,1662
"SARAF",920,1664
"RNU6-929P",921,1664
"RNU6-690P",922,1666
"RNA5SP146",923,1668
"RN7SKP225",924,1669
"RN7SL449P",925,1671
"RNU6-689P",926,1673
"RN7SL23P",927,1674
"RN7SKP53",928,1676
"RN7SL55P",929,1677
"RNU1-22P",930,1680
"RPL7L1P8",931,1683
"RNU6-1004P",932,1684
"RPS7P10",933,1686
"RN7SL753P",934,1687
"RN7SL104P",935,1692
"ZSCAN9",936,1693
"OR56A5",937,1694
"RN7SKP30",938,1696
"RN7SL76P",939,1698
"OCSTAMP",940,1702
"RN7SL504P",941,1704
"TCEB2P2",942,1706
"UBXN4",943,1707
"CICP4",944,1708
"RNU6-1028P",945,1712
"RNA5SP514",946,1714
"RNU1-86P",947,1715
"MT-TA",948,1716
"SPATA31A3",949,1718
"ENGASE",950,1718
"RNU6-395P",951,1719
"RNU6-655P",952,1721
"RN7SL340P",953,1723
"RNU1-34P",954,1725
"RN7SL792P",955,1726
"OR11I1P",956,1728
"MIR520B",957,1730
"RNU6-983P",958,1733
"POM121L3P",959,1734
"RNU6-924P",960,1736
"PPIAP13",961,1737
"SUZ12P1",962,1741
"IGLJCOR18",963,1744
"RN7SKP227",964,1745
"SNORD115-3",965,1747
"RNA5SP371",966,1750
"EEF1DP1",967,1751
"PLK5",968,1751
"TPI1P1",969,1753
"CERS5",970,1754
"RNU6-505P",971,1755
"KRT8P41",972,1757
"ZNF726",973,1759
"RN7SL402P",974,1760
"RPL7AP6",975,1762
"ERLEC1",976,1764
"RN7SL632P",977,1765
"OR10D4P",978,1766
"UBXN2A",979,1766
"RNU6-279P",980,1768
"RN7SKP257",981,1769
"RNU1-51P",982,1770
"OR9I2P",983,1772
"OR1H1P",984,1774
"RNU6-1160P",985,1775
"GM140",986,1777
"OR7E149P",987,1778
"MALSU1",988,1778
"RNA5SP341",989,1779
"LINC00919",990,1782
