"Gene","metaRanking","RP"
"RNU6-680P",527,946.8
"LOC102724536",528,949.9
"RNA5SP508",529,951.2
"LOC100506844",530,952.6
"TMEM236",531,955.3
"CHURC1-FNTB",532,955.5
"RNU6-1220P",533,957
"RNU6-799P",534,958.2
"RNU6-571P",535,960.9
"LOC100506882",536,963.7
"RNA5SP24",537,965
"LOC283194",538,966.3
"LOC440300",539,967.5
"RN7SL610P",540,968.9
"RNU6-1142P",541,970.5
"CDKN2AIPNLP2",542,972.6
"LOC100288910",543,974.6
"NPRL3",544,974.6
"HIST1H2BPS1",545,976.3
"HMGN2P18",546,978.7
"RPS7P10",547,980.5
"RPS2P32",548,981.9
"CSNK2A3",549,983.3
"RNU6-219P",550,985
"RN7SL549P",551,987.2
"RN7SL108P",552,988.9
"LOC100128343",553,991.3
"MT-TC",554,992.7
"RNU6-461P",555,994
"RN7SL477P",556,996.1
"RNU4-73P",557,997.7
"GPANK1",558,998
"RNU6-885P",559,999.3
"CLEC18B",560,1001
"RNA5SP282",561,1002
"CORO7-PAM16",562,1004
"RN7SL499P",563,1007
"RNU1-100P",564,1008
"WHAMMP3",565,1010
"RNU6-218P",566,1012
"RNA5SP458",567,1014
"RNU6-448P",568,1016
"RN7SL18P",569,1018
"RNA5SP111",570,1021
"SPDYE3",571,1022
"RN7SL481P",572,1024
"LOC101929087",573,1025
"RNA5SP511",574,1028
"RN7SL255P",575,1030
"LOC100130924",576,1032
"RNU6-115P",577,1033
"RNU6-1001P",578,1034
"RNA5SP485",579,1036
"RNU6-810P",580,1038
"RN7SL623P",581,1040
"RNU6-505P",582,1041
"GCSAML-AS1",583,1042
"RN7SL569P",584,1045
"RNA5SP277",585,1046
"DTX2P1-UPK3BP1-PMS2P11",586,1048
"BRK1",587,1048
"LSM3P3",588,1049
"TPI1P1",589,1050
"ADAMTSL4-AS1",590,1052
"RNU6-396P",591,1055
"LOC101060747",592,1056
"RNU6-579P",593,1056
"RNU6ATAC8P",594,1057
"RN7SL382P",595,1059
"SFSWAP",596,1060
"RNA5SP504",597,1060
"RN7SL812P",598,1062
"RP11-196G18.24",599,1066
"RN7SKP134",600,1068
"RNA5SP208",601,1070
"RN7SKP275",602,1072
"RNU6-221P",603,1074
"RNA5SP479",604,1078
"MIR124-3",605,1080
"SKOR1",606,1081
"RNU6-629P",607,1082
"PTMAP4",608,1084
"RNU6-248P",609,1086
"RN7SKP127",610,1088
"LINC00942",611,1089
"RNU2-69P",612,1091
"UNC45A",613,1092
"RNU6-716P",614,1094
"HMGN2P6",615,1096
"SPRYD7",616,1097
"CT47A10",617,1098
"MRPL57",618,1099
"RNA5SP137",619,1103
"LOC102724788",620,1105
"RPL21P28",621,1106
"FAM206A",622,1107
"RN7SL120P",623,1107
"IGKV7-3",624,1109
"RP11-457K10.1",625,1112
"AP000696.2",626,1114
"RNU6-1082P",627,1116
"KBTBD13",628,1119
"RN7SKP39",629,1122
"RN7SKP162",630,1123
"RN7SKP123",631,1126
"OR7E43P",632,1130
"OR5BS1P",633,1131
"RNF216P1",634,1133
"LOC101060458",635,1134
"OR51H1P",636,1137
"GOLGA2P6",637,1139
"MAP1LC3BP1",638,1140
"LOC100130916",639,1143
"TMEM244",640,1146
"CSPG4P1Y",641,1148
"RPL13AP25",642,1149
"RNU6-817P",643,1150
"MIEN1",644,1152
"RNU6-451P",645,1152
"RN7SKP248",646,1157
"RNU6-627P",647,1159
"C19orf73",648,1161
"MT-RNR1",649,1161
"RNU6-351P",650,1164
"RN7SKP189",651,1166
"RNU6-865P",652,1168
"LOC100506469",653,1170
"RN7SL443P",654,1173
"BAG6",655,1175
"RNU6-1046P",656,1175
"RNU6-204P",657,1179
"RNU6-1081P",658,1181
"ST13P5",659,1182
"RNU6-289P",660,1183
"RN7SKP264",661,1186
"USP17L15",662,1187
"LOC100422737",663,1189
"RN7SL515P",664,1190
"NOS2P1",665,1193
"METTL22",666,1196
"RNU6-63P",667,1196
"RNU1-43P",668,1198
