"Gene","metaRanking","RP"
"LOC100131693",700,1620
"RAB3GAP2",701,1620
"LOC100130951",702,1624
"SNAP47",703,1625
"LOC100190939",704,1625
"LOC400352",705,1628
"LOC442240",706,1632
"LOC100131401",707,1636
"RPS16",708,1636
"RAB10",709,1641
"LOC642550",710,1641
"GAR1",711,1643
"LOC100130054",712,1644
"LOC100131431",713,1646
"LOC100129636",714,1651
"LOC100132813",715,1653
"LOC729159",716,1654
"RPS20P27",717,1656
"PSMB3P2",718,1658
"KAT8",719,1659
"LOC100131871",720,1660
"LOC643445",721,1662
"COLGALT1",722,1666
"LOC729549",723,1669
"PRAC",724,1672
"HMGXB3",725,1673
"LOC100130328",726,1678
"MOBKL3",727,1680
"PIEZO1P1",728,1685
"FLJ26245",729,1689
"SPDYE8P",730,1693
"RNPS1",731,1695
"FAM115B",732,1696
"LAMTOR1",733,1699
"LOC728262",734,1699
"METTL13",735,1701
"C7orf70",736,1701
"RUFY1",737,1702
"LOC100131104",738,1702
"UNC119B",739,1704
"LOC285412",740,1706
"LOC100131880",741,1708
"FAM127B",742,1710
"UBA52",743,1711
"LOC100129278",744,1711
"LOC727960",745,1715
"LOC100128327",746,1717
"DPP8",747,1718
"LOC642513",748,1720
"LOC440366",749,1724
"COA4",750,1724
"RN7SKP102",751,1725
"LOC100129578",752,1728
"LOC100134235",753,1731
"LOC100133283",754,1734
"FGD5-AS1",755,1736
"LOC441442",756,1740
"MIR4745",757,1743
"LOC729313",758,1745
"LOC100130141",759,1746
"LOC100129410",760,1748
"LOC100131542",761,1751
"KARS",762,1751
"LOC100128998",763,1752
"LOC100129103",764,1754
"LOC100129236",765,1756
"LOC390671",766,1758
"CLTA",767,1758
"LOC100133528",768,1759
"LOC728408",769,1762
"LOC644761",770,1764
"RN7SL401P",771,1766
"LOC101929115",772,1768
"RBFA",773,1770
"LOC729439",774,1770
"SUPT4H1",775,1773
"LOC100130503",776,1773
"RN7SL551P",777,1777
"GLUD1",778,1779
"LOC100129291",779,1780
"FLJ40672",780,1781
"FAM160A2",781,1784
"RPL10AP2",782,1785
"LOC728463",783,1788
"LOC100130960",784,1789
"LOC100130757",785,1791
"LOC100128405",786,1793
"FAM123C",787,1796
"BOD1",788,1796
"LOC729438",789,1797
"BIRC2",790,1799
"BAZ1B",791,1800
"RBMX2",792,1803
"LOC647696",793,1804
"LOC100133403",794,1806
"RPS4X",795,1806
"RPS17",796,1807
"LOC100128519",797,1809
"LOC100130494",798,1817
"LOC100129773",799,1818
"RN7SKP134",800,1820
"ATG13",801,1821
"LOC729120",802,1822
"GPBP1L1",803,1825
"LOC100132636",804,1826
"LOC101928049",805,1827
"RP4-595K12.1",806,1831
"LOC100131166",807,1833
"C16orf11",808,1835
"NCRNA00153",809,1837
"LOC729497",810,1839
"LOC100133599",811,1841
"MPLKIP",812,1842
"FAM86EP",813,1842
"LOC100128013",814,1844
"PET100",815,1846
"RPS6",816,1847
"RN7SKP15",817,1849
"LOC649346",818,1852
"LOC100128760",819,1854
"LOC730291",820,1855
"SEPT5",821,1857
"WASH2P",822,1859
"RPL24",823,1860
"LOC100130644",824,1862
"ZNF207",825,1862
"LOC400836",826,1865
"LOC100128191",827,1867
"ANXA2",828,1868
"CIAO1",829,1869
"HMGN1P36",830,1870
"LOC642006",831,1871
"SCAND3",832,1875
"LOC100130123",833,1876
"LOC645453",834,1878
"RPL18A",835,1880
"LOC400061",836,1881
"C2orf68",837,1881
"C7orf40",838,1882
"VPS52",839,1883
"LOC646581",840,1884
"CD63",841,1885
"LOC100130441",842,1885
"LOC100131124",843,1889
"FAM192A",844,1889
"C14orf53",845,1892
"LOC100134140",846,1893
"TMUB2",847,1896
"LOC100133465",848,1896
"FAM58BP",849,1898
"LOC730011",850,1900
"LOC100130311",851,1906
"DHX32",852,1907
"LOC100131765",853,1909
"LOC100128640",854,1911
"LOC100131760",855,1913
"LOC100130308",856,1915
"SNORA39",857,1917
"LOC100130071",858,1917
"COX7A2L",859,1918
"LOC100133584",860,1918
"OR10AC1P",861,1920
"SLX4",862,1922
"RN7SL691P",863,1922
"GRSF1",864,1925
"RPS2P5",865,1925
"LOC391142",866,1929
"CRKL",867,1930
"LOC729397",868,1933
"TMEM222",869,1934
"LOC100131251",870,1934
"EIF2D",871,1935
"LOC100133286",872,1936
"LOC730476",873,1937
"OR7E161P",874,1939
"LOC643387",875,1941
"LOC100130711",876,1942
"LOC100128096",877,1943
"TMEM184C",878,1947
"FLJ40039",879,1948
"RNU6-66P",880,1950
"DTD1",881,1954
"LOC100130846",882,1954
"EEF2",883,1955
"LOC102724543",884,1956
"TMCO1",885,1957
"ABHD16A",886,1958
"MRPL3",887,1959
"LOC100129652",888,1963
"GAPVD1",889,1966
"TCHP",890,1967
"LOC100128002",891,1968
"LOC100134153",892,1969
"CRTC3",893,1972
"LOC100130457",894,1976
"C15orf38-AP3S2",895,1978
"RN7SL449P",896,1980
"LOC728348",897,1985
"LOC390806",898,1990
"RPS20",899,1992
"LOC100130980",900,1992
"MINOS1",901,1993
"SIGMAR1",902,1994
"MAML1",903,1994
"LOC100128960",904,1995
"LOC100131643",905,1997
"ZDHHC5",906,1997
"PCNPP5",907,1998
"LOC100133773",908,2000
"GOLPH3",909,2002
"LOC100131722",910,2002
"C21orf96",911,2004
"TRPV1",912,2006
"LOC648822",913,2006
"LOC728531",914,2008
"MICU1",915,2008
"LOC100131164",916,2009
"LOC100129878",917,2012
"ATP5H",918,2012
"LOC100134188",919,2016
"CHTF8",920,2017
"MIR643",921,2019
"LOC100127893",922,2023
"LOC388553",923,2027
"FAM210B",924,2028
"LOC151457",925,2030
"MIR6513",926,2032
"LOC100129942",927,2038
"LOC645405",928,2040
"LOC100130932",929,2041
"H3F3C",930,2044
"NAA38",931,2046
"LOC100130221",932,2048
"RN7SL178P",933,2049
"LOC100131107",934,2051
"HPS4",935,2051
"RNU1-7P",936,2053
"LOC100132947",937,2054
"LOC100132843",938,2055
"CMTR1",939,2058
"LOC100129002",940,2060
"LOC728927",941,2062
"DDX12",942,2064
"RPL19",943,2064
"LOC100128916",944,2065
"LOC100129712",945,2068
"RN7SKP189",946,2073
"LOC729722",947,2078
"LOC441034",948,2080
"RPS2P52",949,2081
"FTH1P5",950,2082
"MIR1297",951,2082
"RAF1",952,2083
"MIR592",953,2085
"LOC728093",954,2086
"RPL10AP6",955,2088
"APTX",956,2092
"PTAR1",957,2094
"LOC387791",958,2097
"LOC284167",959,2101
"LOC100129686",960,2103
"DENND5A",961,2103
"SLC25A3",962,2104
"LOC100128825",963,2105
"CCNI",964,2106
"LOC641298",965,2107
"LOC100128757",966,2109
"LOC121296",967,2113
"LOC202781",968,2115
"CYB5B",969,2117
"LOC392452",970,2117
"DVL1",971,2117
"LOC100131209",972,2119
"C21orf136",973,2122
"TATDN2",974,2127
"HLA-J",975,2127
"LOC100131565",976,2128
"LOC100131891",977,2130
"DEFB109P1",978,2132
"GPR75-ASB3",979,2134
"TMEM249",980,2135
"LOC644124",981,2137
"SKP1",982,2138
"LOC100128056",983,2140
"LOC402112",984,2142
"FOXD4L6",985,2143
"BAG6",986,2144
"SAE1",987,2144
"RPL22P22",988,2145
"LOC728317",989,2147
"RPS14",990,2147
"IRF2BPL",991,2147
"SNX6",992,2147
"LOC100128889",993,2149
"LOC727963",994,2152
"LOC728701",995,2154
"MZT2A",996,2158
"LOC642469",997,2158
"SAPCD1",998,2160
"LOC100128163",999,2162
"BTF3P9",1000,2163
"LOC391160",1001,2165
"CCDC25",1002,2166
"RN7SKP8",1003,2167
"C17orf101",1004,2170
"DNAJC8",1005,2170
"FTL",1006,2175
"LOC646048",1007,2180
"LOC100133803",1008,2184
"LOC100131525",1009,2186
"WDR42A",1010,2188
