"","GSE32512","GSE27666"
"ACSS2",0.0777365524882414,0.327330498891667
"ACSS3",0.0747998343848945,0.327770195860443
"ACTA1",0.0703308202103731,0.638206108086254
"ACTA2",0.03756153052258,0.379108940894188
"ACTB",0.0174684168559862,0.170524876874139
"ACTC1",0.0320255527906366,0.282226944006293
"ACTG1",0.0172650118384281,0.126020622923335
"ACTG2",0.170801679459244,2.64928330742038
"ACTL6A",0.0175722117072701,0.108630430550166
"ACTL6B",0.0697116890517443,0.343474370129316
"ACTL7A",0.034654382695649,0.293212703665379
"ACTL7B",0.0533319190776669,0.229728815967818
"ACTL8",0.0595910511288213,0.240085405548529
"ACTN1",0.027007935676303,0.215055149607542
"ACTN2",0.0676528684514126,0.222233354484135
"ACTN3",0.044776593054558,0.22710945975513
"ACTN4",0.0221636577878371,0.164942429051301
"ACTR10",0.0165913065179128,0.115781206048084
"ACTR1A",0.0182272650146761,0.131256716337274
"ACTR1B",0.0154359095198078,0.10535189237918
"ACTR2",0.0172195065113223,0.148627467552317
"ACTR3",0.0716393966395868,0.358905891358847
"ACTR3B",0.0304546891182327,0.154559153497631
"ACTR5",0.0312013988916557,0.142271914819078
"ACTR6",0.0240681166285372,0.156479832319591
"ACTR8",0.0574562441977575,0.1929511958263
"ACTRT1",0.0639076398922147,0.25943949349735
"ACVR1",0.0288002733444013,0.199050117093698
"ACVR1B",0.0398124130750235,0.165218446769477
"ACVR1C",0.104843326371882,0.409792200619568
"ACVR2A",0.0345932127851395,0.149740805437176
"ACVR2B",0.0329933113839261,0.232629671475989
"ACVRL1",0.0344047499486159,0.196487396644615
"ACY1",0.0422066837171539,0.29618687453949
"ACY3",0.0524044419015993,0.378677056263686
"ACYP1",0.0584014898793308,0.189833624112706
"ACYP2",0.0306703013471696,0.159551562596115
"ADA",0.0271516175443518,0.185183658375776
"ADAD1",0.0330181975406156,0.320343684460291
"ADAD2",0.070411617216194,0.338803890998368
"ADAL",0.0548058391977796,0.209126449611056
"ADAM10",0.0396506929516451,0.186392881159774
"ADAM11",0.0503532689921823,0.294398720107263
