"","GSE73108","GSE72158","GSE65221","GSE58559","GSE42809","GSE119717","GSE115645"
"ABHD1",0.0668959499967223,0.121228588439441,0.287405653046961,0.0281533888966116,0.00235813505333567,0.0226442220715383,0.240982342868122
"ABHD10",0.0259620925013564,0.138814911049697,0.137946547100843,0.0316835663381896,0.00452682701952831,0.0253044038755795,0.247775911664886
"ABHD11",0.0595160327641529,0.0806886764807668,0.15045772078116,0.0218379084812453,0.00670006345399266,NA,0.240873059811323
"ABHD12",0.0392623110699029,0.149869672432757,0.190185181557648,0.0228878661757072,0.00657444575537364,0.0248868663266297,0.260844191919508
"ABHD12B",0.105589225030448,0.0463562773268672,0.0917648668226315,0.0251315672325689,0.00188385913052092,NA,0.238183736338474
"ABHD13",0.0161700860738821,0.0451042013418066,0.0739984734950329,0.0209592787464091,0.00237634990381908,NA,0.182662032286106
"ABHD14A",0.0262985687730399,0.150117620766435,0.1450503172487,0.0243550029540801,0.0334589083796476,0.0328320126315816,0.483109704640806
"ABHD14B",0.0471530262202274,0.239757008689646,0.162886961537009,0.0314100174158361,0.0181411599189917,0.0338455822396213,0.301430204342873
"ABHD15",0.0347261837713644,0.177866537770533,0.230195940205719,0.0303245940511199,0.011984507400281,0.0458179883963915,0.195696784285329
"ABHD2",0.0446583363209189,0.0772457205740957,0.119145088455347,0.0294036668738577,0.0204462892531008,0.0185625804285407,0.276101794376555
"ABHD3",0.0279527182866723,0.160783947368051,0.163231103730025,0.0426241529598764,0.012915800507413,0.0379378991608173,0.299443393602302
"ABHD4",0.0680246440306214,0.153693109175265,0.17082656418054,0.0357663878092421,0.0146635825065038,0.0290797294532836,0.569851370482054
"ABHD5",0.0736772277813257,0.34846534258603,0.358837643711065,0.0476566082360759,0.0147022448421325,0.0874208643973364,0.521831918908874
"ABHD6",0.046096205059925,0.128438156930482,0.155908186524601,0.0263964909406625,0.0103593728738867,0.0248777257731206,0.21027060795139
"ABHD7",0.0329573511926271,0.0922865637783388,0.154825976355114,0.0247850331698388,0.0155759265722905,0.0202161355247573,0.212542026143733
"ABHD8",0.0368003410459878,0.122421809544034,0.174275823515247,0.0237323363678199,0.0247028097061564,0.0241272494260743,0.213964648150239
"ABHD9",0.0484242187471767,0.12709103841321,0.125616620745156,0.0272047115425706,0.00294081930695086,NA,0.220672449359004
"ABI1",0.0256591286678017,0.103534659899608,0.137227380765054,0.0145046700816958,0.00449807113848161,0.0269980915473694,0.219951129957427
"ABI2",0.0597922950303788,0.0720523022504773,0.0917240066893095,0.0148760021908298,0.00463846742777464,0.0237412845563859,0.164672456902537
"ABI3",0.0821215577036394,0.092522571049915,0.165769800131453,0.0395358078760418,0.00308516647389334,0.0463565095327845,0.191106856320548
"ABI3BP",0.0683758007537567,0.355293902427028,0.367383441646467,0.0409641971082612,0.118154365950848,0.0459358911622117,0.281457358166811
