"","GSE33684","GSE113808","GSE104128","GSE97910","GSE70857","GSE62324","GSE57659","GSE39313"
"0610031J06Rik",0.10060875376908,0.250762880637287,0.144774038569663,0.30192702104413,0.021037204384467,0.133887538319329,0.0319039391569962,0.0264814814814815
"0610033E06Rik",0.0616611658581609,0.2484375,0.0420028269288642,0.0127495348522925,0.00602706720370538,0.257584868121204,NA,0.000806451612903209
"0610033H09Rik",0.0877887215170724,0.123817332130852,0.137309675778603,0.33632447401215,0.0372393316807415,0.0337171273035892,0.0172650112665334,0.0242647058823529
"0610034P02Rik",0.118633946480527,0.139661214953271,0.0870929402891504,0.0681483197930327,0.0109521852559635,0.121823695321113,0.0402804361585879,0.00415786694825767
"0610037D15Rik",0.0750198092942017,0.230442743009321,0.0996018242986068,0.0513083887392201,0.0101462295110755,0.158809067207557,0.0567688244913101,0.00100428494911617
"0610037H22Rik",0.0911211767388095,0.10703125,0.0713651398930491,0.0680631225360551,0.0153098817277775,0.140743621151165,0.052768273416703,0.00319659030367615
"0610037L13Rik",0.0775661230557524,0.085188542422045,0.101966032357861,0.0987383457626946,0.0144732195559137,0.0703681170822756,0.0238642786458849,0.00857034027425094
"0610037P05Rik",0.0718465496823468,0.404182879377432,0.027911358393495,0.0202694513102904,0.0063263825309329,0.393289767320597,NA,0.000403225806451676
"0610038F07Rik",0.109416068846359,0.108008841654014,0.198597028448509,0.129056694980995,0.0265211963676402,0.0919834097293383,0.0236855058436248,0.0151496259351621
"0610038K03Rik",0.107949681019445,0.191860465116279,0.146148062269676,0.080511390122257,0.0664988970774514,0.347028640176204,0.0630691438819666,0.0030080213903743
"0610039D01Rik",0.0679768341989284,0.179668806978223,0.161551983990338,0.198832248718669,0.0229295221280096,0.110977417934605,0.026248269862286,0.0327555155335435
"0610039J04Rik",0.0599677967775934,0.193852239206222,0.0946509919813742,0.0692558090467101,0.0183708085545571,0.0938790794972326,0.0228244295845735,0.0203055141579732
"0610039N19Rik",0.179113317898595,0.229804607757364,0.241401538905507,0.660262465584383,0.100722166921826,0.245350724153751,0.049981420398675,0.0363414092020448
"0610039P13Rik",0.117280222073157,0.579890533338446,0.507528259495893,0.523832074331122,0.0737375268603874,0.1067739268686,0.0916607004682603,0.0288761706555672
"0610040B21Rik",0.204858167049946,0.122318294109999,0.884029171595246,0.193627392156179,0.0361949320829557,0.209181884292178,0.0381437711962231,0.0266930301532377
"0610040D20Rik",0.0508807716791103,0.271381578947368,0.0634845909791126,0.013389495478723,0.00487182240285196,0.200503814768197,0.0789836102457346,0.00080558539205154
"0610040J01Rik",0.073820872786758,0.311739130434783,0.158128646501999,0.0264517733915484,0.0098436534771359,0.338859697236459,0.0550065989432753,0.00522508038585205
"0610041B22Rik",0.0775607226957286,0.15619036259542,0.511699955309384,0.136847613433537,0.0157979425053825,0.148066084379473,0.039942650149722,0.0187306900102986
"0610041E09Rik",0.123913073709631,0.46667671893848,0.102193577572546,0.0777055076791386,0.0126415368649567,0.130560597976598,0.0317939910634653,0.00799531981279245
"0610041G09Rik",0.149672321564704,0.140789245241327,0.225850061016657,0.903763314228635,0.213848303612342,0.184252388202106,0.0798051115957882,0.0726658021489441
"0610042E07Rik",0.1089351661542,0.142951425554382,0.128301664191431,0.0811333878966385,0.0177235303484971,0.242718210531208,0.0723638819102228,0.00160771704180061
"0710001B24Rik",0.162278433004822,0.380047505938242,0.130963706226728,0.309560215127295,0.0816873338947358,0.171870769272548,0.0483715141031724,0.0311683220073184
"0710001E13Rik",0.0489378467930444,0.171838747099768,0.0241179467947524,0.0180809973639725,0.00438539237077719,0.141812658554451,NA,0.000804289544236051
"0710005M24Rik",0.070348896565422,0.264184397163121,0.0300031590787335,0.0217755706628031,0.00507429835815837,0.239988752032649,0.0714113868294911,0.00080558539205154
"0710007A14Rik",0.0973934834762231,0.165453666131924,0.105210164089167,0.0897355889354708,0.0195300733646123,0.0807098071742262,0.023747831216675,0.0429759704251387
"0710008K08Rik",0.088127114511076,0.169820083682009,0.113420152212842,0.136479014244442,0.0328730806835039,0.0974193218236681,0.0268704050325128,0.0416479316546762
"0910001A06Rik",0.10920806681556,0.250081967213115,0.0807365687002059,0.0379758914864263,0.00652856138140048,0.2051640379577,0.0385390263420732,0.000802568218298538
"0910001K20Rik",0.0733260428517561,0.1224609375,0.0314959373344302,0.0179360073617582,0.006155115013249,0.286824184212676,0.0584263768879196,0.000804721030042901
"0910001L09Rik",0.0951183406343436,0.0890892590977765,0.186690516926868,0.148671096821569,0.011482041251778,0.0300111005011987,0.0208474702045286,0.023936170212766
"1010001D01Rik",0.103455961683068,0.114130434782609,0.0531473935082146,0.0269827888965381,0.00505886563565469,0.13792155585051,NA,0.000804721030042901
"1100001A21Rik",0.0918572317149025,0.111699084668192,0.103993249113957,0.112846476944929,0.0485937788075497,0.268691959706972,0.0425677617505527,0.00756369426751597
"1100001D10Rik",0.112698451947326,0.161211866442469,0.15096880935209,0.160178027611764,0.0146776254742143,0.0476461722037304,0.039413295301623,0.0411882176734898
"1100001E04Rik",0.0674195974370728,0.234962406015038,0.0179304514730402,0.018954607014478,0.00574447368758324,0.171647935049353,0.075644317130749,0.000803858520900304
"1100001G20Rik",0.0689423237169293,0.307540725170783,0.826051216179417,0.0899021929637279,0.0411107503064771,0.206456211691153,0.139813769058699,0.043573264781491
"1100001H23Rik",0.054459439347678,0.172189349112426,0.100677969217858,0.0186365944113438,0.00607849278570844,0.145960092367105,0.0617464000337886,0.00100374732334041
"1100001I19Rik",0.0552695839981322,0.210106382978723,0.0447600870822074,0.0146485222224544,0.00633768933634127,0.153568774964319,0.0694548273339462,0.00080601826974743
"1100001I22Rik",0.104245400793905,0.155888980732518,0.0747032731906521,0.558291442834146,0.0532512873048821,0.141268856796901,0.0392601087537093,0.0176656453466104
"1110001A05Rik",0.111104226073104,0.216417910447761,0.0717585272735549,0.088951552796858,0.0127127095689276,0.203522538122148,0.048242725269211,0.0148316408337788
"1110001A07Rik",0.0479978696031064,0.105716253443526,0.0626267535397616,0.0273775478318111,0.00577430566338609,0.227702914991999,0.0488042927529667,0.00100321027287328
"1110001A12Rik",0.110102762304911,0.127065041589649,0.747509565886311,0.118353292033832,0.0336546022626,0.286653804458442,0.0454355889714851,0.0287109375000001
"1110001A23Rik",0.081660111955853,0.219002552105487,0.0751858022053869,0.14624152399116,0.0434250709744691,0.179888905997473,0.0433332818127804,0.0082212257100149
"1110001C20Rik",0.0638852071608987,0.266939252336449,0.189264467727325,0.0967488235127956,0.0142863387836861,0.178517392672269,0.0376924490601632,0.00507020280811243
"1110001E17Rik",0.0755691050381371,0.197654738878143,0.111755183927002,0.903861448008594,0.0152928379624824,0.420957577333181,0.0799987255355868,0.0725935828877005
"1110001J03Rik",0.164723487781249,0.520670413815575,0.24936927288593,1.1587038718543,0.180650130980937,0.0838746297337357,0.0440056399899784,0.102008215426746
"1110001K21Rik",0.0693895990829283,0.1998954088073,0.133681351684762,0.172608324773897,0.0368860776052917,0.121533736550325,0.02396662690065,0.0875975217989903
"1110002B05Rik",0.0999163358010679,0.414135402780423,1.04560310395547,0.219322710806343,0.0484319294031167,0.376152802786295,0.0399035331779872,0.0280923344947736
"1110002E23Rik",0.11006321403105,0.143669676971171,0.273220066198507,0.114708186142992,0.0241282922048535,0.0965639355330037,0.0584091330579066,0.015805318615153
"1110002H13Rik",0.0450968364457675,0.18547197640118,0.0393417100188125,0.0154375692049898,0.00569891100901822,0.278307322539124,0.0875143963160434,0.000402792696025699
"1110002N22Rik",0.0639878960744348,0.18125677559238,0.129848781286375,0.35254031062672,0.055498693087244,0.229928019597084,0.0436440497083885,0.0307821373257614
"1110003A17Rik",0.138661323275474,0.113581466842336,0.192535392147924,0.152802548623595,0.0444500751373865,0.0488407086889279,0.0357038655068572,0.016052762568442
"1110003E01Rik",0.0904811367695988,0.12878219331475,0.10727656979388,0.229648099335095,0.0551702442966148,0.0450789123609076,0.0212642697525778,0.0543949546708711
"1110004B13Rik",0.10470281997848,0.174808429118774,0.0906808207374961,0.0225184230836567,0.00656164415156752,0.27488109935792,0.0487254162377605,0.00160599571734472
"1110004B15Rik",0.0777635543604706,0.309604904632153,0.0603972381219377,0.0210516983504028,0.005449211310966,0.180531546434403,0.0874545880713477,0.000804721030042901
"1110004E09Rik",0.0474388545081281,0.0899053627760253,0.0431005335259161,0.0249321059442168,0.005395412916812,0.167953514876174,0.0546760989839251,0.000803858520900304
"1110004F10Rik",0.0606922917148233,0.18902749490835,0.0886307798471715,0.0137528328759663,0.00558812993721842,0.255906712994089,0.0816364819061182,0.000401929260450081
"1110005A03Rik",0.0457378293713967,0.138336347197107,0.128426169941292,0.0172967117203739,0.00705899492407101,0.244934926581431,0.0664900237112645,0.00220706260032102
"1110005A23Rik",0.0972481026029122,0.164891874180865,0.203865065671385,0.0230169017693422,0.0094643800205688,0.502915401946019,0.0749889762317986,0.00220470336718331
