"","GSE32512","GSE27666"
"ADAMTS14",0.0253832874689688,0.197334007019268
"ADAMTS15",0.0539066633581076,0.267881400947658
"ADAMTS16",0.0388413871312085,0.233799637636191
"ADAMTS17",0.0906808133687682,0.316998337058966
"ADAMTS18",0.0487622808571848,0.252396450345056
"ADAMTS19",0.0705780421282508,0.280399732286004
"ADAMTS2",0.0685972391397339,0.243555765317865
"ADAMTS20",0.0219951933549921,0.229918599584192
"ADAMTS3",0.0448950795438733,0.360357987177579
"ADAMTS4",0.041838115232109,0.29920042097449
"ADAMTS5",0.054040641738918,0.319963136000429
"ADAMTS6",0.0612668773680748,0.213842248798303
"ADAMTS7",0.0732001705103144,0.259137001365057
"ADAMTS8",0.0523822543862229,0.295397569553547
"ADAMTS9",0.0479556803710829,0.281250629927959
"ADAMTSL1",0.0363280973218057,0.213035358383132
"ADAMTSL2",0.0904919596362599,0.284469744064207
"ADAMTSL3",0.064995635180678,0.200562049161707
"ADAMTSL4",0.0662910300030987,0.328925582817097
"ADAMTSL5",0.0619963253594043,0.226622725055794
"ADAR",0.0209074977734806,0.135690660722161
"ADARB1",0.0460367789274091,0.162027107502135
"ADARB2",0.0636389925723925,0.259424144633107
"ADAT1",0.038616173269579,0.206161404080007
"ADAT3",0.0452790473886724,0.198322056663918
"ADC",0.0764672892585749,0.278878717980092
"ADCK1",0.0424693711171742,0.203234849431328
"ADCK2",0.0234037170146974,0.156236269173799
"ADCK4",0.0602860481469305,0.22466522886986
"ADCK5",0.0603262672161819,0.205727460222268
"ADCY1",0.0540951257753515,0.198459548514182
"ADCY2",0.0715922581578549,0.226943863346697
"ADCY3",0.0218381943750856,0.177469266738618
"ADCY4",0.0312493590617359,0.226355916339602
"ADCY5",0.0712083613885617,0.223633796289988
"ADCY6",0.0239643557129731,0.174132183592564
"ADCY7",0.043156723178367,0.214124346836485
"ADCY8",0.0261659068127943,0.262637945145055
"ADCY9",0.0576345122070901,0.228452291047791
"ADCYAP1",0.0552296913444997,0.23515240448902
"ADCYAP1R1",0.0393772150467512,0.268307952274713
"ADD1",0.022012005846152,0.113250213692513
"ADD2",0.0213919487588365,0.166408327978055
"ADD3",0.0457284420058967,0.173591405580563
"ADFP",0.0210918456923498,0.196480465120428
"ADH1A",0.021786701666435,0.214513678947793
"ADH1B",0.0453968668872605,0.377321558236916
"ADH1C",0.0450249803966368,0.270499047077222
"ADH4",0.026836819701262,0.22649599403498
"ADH5",0.0288676757710129,0.150635068408236
"ADH6",0.0491582645994553,0.239432623151687
"ADH7",0.0328830471403598,0.292632377271293
"ADHFE1",0.031068560017455,0.208190214654579
"ADI1",0.0986315770834407,0.327732145183278
"ADIG",0.0481956670045878,0.231816245094169
"ADIPOQ",0.0435959881986382,0.316443287838724
"ADIPOR1",0.0419755758129533,0.324557921113734
"ADIPOR2",0.0217824902753357,0.184316791425909
"ADK",0.0474620494029361,0.168355762923089
"ADM",0.0340331776990898,0.32016508570641
"ADM2",0.0509091529697422,0.176300472445395
"ADNP",0.0361129966973802,0.177763603767251
"ADNP2",0.0249293276239437,0.145825467185257
"ADO",0.0218074118069042,0.127965310748883
"ADORA1",0.0779532241332987,0.291754853732842
"ADORA2A",0.0729694209449008,0.254878515754249
"ADORA2B",0.0734075674905808,0.295189901833885
"ADORA3",0.0474002599000823,0.175789373902338
"ADPGK",0.0214691889421269,0.133215989069568
"ADPRH",0.0722332707205374,0.225567472800806
"ADPRHL1",0.0679924124303416,0.26036339357711
"ADPRHL2",0.0347648398437623,0.161049514946076
"ADRA1A",0.0397683762109252,0.159515471180643
"ADRA1B",0.076090172733397,0.306766738616773
"ADRA1D",0.0700273702941728,0.238019205574124
"ADRA2A",0.0385614277415273,0.212306464168711
"ADRA2B",0.0688183467792008,0.234709473960805
"ADRA2C",0.0448575048802967,0.193647197029647
"ADRB1",0.0696573333255356,0.288731297845992
"ADRB2",0.0269283389403213,0.177585199091533
"ADRB3",0.0718806212869341,0.286245745195294
"ADRBK1",0.0336951989614015,0.302165568931743
"ADRBK2",0.0795581106482834,0.303701398930898
"ADRM1",0.013722477325589,0.104556951451594
"ADSL",0.0125990014344998,0.0929604606414671
"ADSS",0.0249019072964638,0.128385171871134
"ADSSL1",0.0575777609093729,0.210972595302052
"AEBP1",0.0276369773953263,0.203195255345903
"AEBP2",0.0429763639112023,0.184362395275499
"AES",0.0185807990708605,0.129004626552808
"AFAP1",0.0383630698338011,0.244673095167294
"AFAP1L1",0.0301433030281607,0.19025997722893
"AFAP1L2",0.0419468828661823,0.194293168203821
"AFAR3",0.0783281935377839,0.247571939237612
"AFARP1",0.0310559038009157,0.177558922379883
"AFF1",0.0533884803362346,0.183836556214678
"AFF2",0.0848331420097553,0.286724772217746
"AFF3",0.0403373517657626,0.258913270104408
"AFF4",0.0382554858630869,0.20271779174215
"AFG3L1",0.0340839964616804,0.147678154267576
"AFG3L2",0.0232945990076302,0.14818590221102
"AFM",0.0211714822955066,0.426284715004915
"AFMID",0.0520643077508965,0.247921223904496
"AFP",0.0408414553725893,0.223100001974419
"AFTPH",0.0790699432721833,0.255150194657292
"AGA",0.0365458545813327,0.18759934188737
"AGBL1",0.0226780043595559,0.184803241476123
"AGBL2",0.0232372066348537,0.237453431443364
"AGBL3",0.0246862421699804,0.322826902310552
"AGBL4",0.028893358653987,0.309617608714191
"AGBL5",0.0278850051252764,0.111490832444079
"AGC1",0.0512099510949646,0.257575236525271
"AGER",0.0479416682400703,0.221341208066693
"AGGF1",0.0217827872765839,0.0831267674752404
"AGK",0.0225662999428766,0.128945266578616
"AGL",0.0336142582954745,0.163146690164471
"AGMAT",0.0367992930826198,0.231424718620914
"AGPAT1",0.0307950216796554,0.239694963460654
"AGPAT2",0.0251732208891567,0.201817093552941
"AGPAT3",0.086489608583685,0.236545163272316
"AGPAT4",0.0297168380192277,0.178207938926899
"AGPAT5",0.0622113965332574,0.200785294124981
"AGPAT6",0.0822801001851544,0.281571603323379
"AGPAT7",0.075277844428388,0.237847917831122
"AGPAT9",0.111266722682936,0.602762984706239
"AGPS",0.0252924736707481,0.130667316147886
"AGR2",0.0783614583801442,0.232452041379806
"AGR3",0.0338136359722856,0.191161751706511
"AGRN",0.0319836080713682,0.170545541517782
"AGRP",0.0331393517451916,0.200675335566516
"AGT",0.139208210446446,0.469891937629456
"AGTPBP1",0.0220516987854594,0.14543922179016
"AGTR1",0.0313447533853671,0.207746857151775
"AGTR2",0.0812045139267569,0.244148687147667
"AGTRAP",0.0391636517816024,0.152009486240787
"AGTRL1",0.0420073294481477,0.301162583742429
"AGXT",0.0620121097254009,0.251674337582496
"AGXT2",0.0269170368940605,0.269770504760504
"AGXT2L1",0.0258013239407505,0.181991144386071
"AGXT2L2",0.0271751622237306,0.129668468945382
"AHCTF1",0.0333348096604473,0.209626206063483
"AHCY",0.0230637418457493,0.169384418768706
"AHCYL1",0.0130882880665703,0.0992329818566977
"AHCYL2",0.0314705538288382,0.165198185040486
"AHDC1",0.0567414515782197,0.192198646298145
"AHI1",0.0370464512626867,0.201964313629337
"AHNAK",0.034557574528358,0.244167374568249
"AHR",0.0262745344093875,0.161837641697153
"AHRR",0.0443679364706574,0.259345742520809
"AHSA1",0.0222143774160421,0.135655534183759
"AHSA2",0.0491716435495113,0.286031964243141
"AHSG",0.0702126752442241,0.220817319926895
"AICDA",0.0431925348941346,0.281872127779579
"AIF1",0.0678067668962748,0.431090530503552
"AIFM1",0.0331207406566568,0.155512713164231
"AIFM2",0.0297178177832921,0.200926093135048
"AIFM3",0.0761772161815407,0.235480484913361
"AIG1",0.0234128012541308,0.144755527105987
"AIM1",0.050148673508635,0.193316809738436
"AIM1L",0.0187436152370926,0.162045834280587
"AIM2",0.0560667422810231,0.275286793911694
"AIP",0.0205553636963181,0.132967971941011
"AIPL1",0.0286264779482303,0.197733837583056
"AIRE",0.0342808857582436,0.207951375750473
"AJAP1",0.0462823650034147,0.24685313859859
"AK1",0.0360430283244899,0.181853705778106
"AK2",0.0343447557859769,0.226518466389223
"AK3",0.0149803325615882,0.132194686980618
"AK3L1",0.060635466326453,0.288731248825508
"AK5",0.0228989697339479,0.231063996850267
"AK7",0.0440620416085584,0.301495337777548
"AKAP1",0.0444211074268947,0.233465261337252
"AKAP10",0.0469044257362581,0.207461476712097
"AKAP11",0.0576451254256736,0.213761213394181
