"","Gene","metaRanking","RP"
"735","5330439M10Rik",735,1116
"736","LOC383618",736,1117
"737","IGHV1S37_M13789_Ig_heavy_variable_1S37_136",737,1119
"738","LOC384635",738,1120
"739","LOC381668",739,1122
"740","E130013D14Rik",740,1123
"741","C330014O21Rik",741,1124
"742","B430320O11Rik",742,1126
"743","Naip7",743,1127
"744","scl0003531.1_19",744,1128
"745","8030472J01Rik",745,1129
"746","A530058H06Rik",746,1131
"747","D1Ertd396e",747,1132
"748","LOC380846",748,1133
"749","Duxbl",749,1134
"750","A530019I06Rik",750,1135
"751","EG665389",751,1136
"752","A730075A06Rik",752,1139
"753","LOC224894",753,1140
"754","5830448L21Rik",754,1141
"755","ND4L",755,1142
"756","LOC100044557",756,1143
"757","LOC384580",757,1144
"758","C230096G02Rik",758,1145
"759","AW047325",759,1147
"760","Srsf11",760,1147
"761","LOC383362",761,1148
"762","LOC667509",762,1149
"763","LOC230760",763,1150
"764","OTTMUSG00000010431",764,1152
"765","LOC382949",765,1153
"766","LOC386271",766,1154
"767","LOC100045274",767,1156
"768","LOC100047299",768,1157
"769","LOC382461",769,1158
"770","CCKBR",770,1159
"771","1700008E09Rik",771,1161
"772","LOC100038949",772,1162
"773","LOC237759",773,1164
"774","LOC385058",774,1165
"775","scl0002958.1_89",775,1167
"776","BC043944",776,1168
"777","LOC237016",777,1169
"778","LOC385672",778,1171
"779","A930004F07Rik",779,1173
"780","LOC245545",780,1174
"781","4930427O07Rik",781,1175
"782","LOC625605",782,1177
"783","A530029H06Rik",783,1178
"784","A430083A02Rik",784,1179
"785","4921518A06Rik",785,1180
"786","LOC383729",786,1182
"787","Tmed7",787,1182
"788","Gm846",788,1183
"789","C230004H03Rik",789,1184
"790","LOC102639922",790,1186
"791","LOC382732",791,1187
"792","OTTMUSG00000007026",792,1189
"793","A430095M13Rik",793,1191
"794","5530401N06Rik",794,1192
"795","LOC674334",795,1193
"796","LOC383624",796,1194
"797","LOC386247",797,1196
"798","B930034F23Rik",798,1197
"799","5830469K17Rik",799,1199
"800","LOC384744",800,1200
"801","LOC385476",801,1201
"802","LOC268906",802,1202
"803","LOC383608",803,1203
"804","2810008H01Rik",804,1205
"805","LOC635340",805,1206
"806","4930438A20Rik",806,1207
"807","LOC218911",807,1209
"808","LOC637754",808,1210
"809","A630094K18Rik",809,1211
"810","A830054O04Rik",810,1213
"811","Msl3",811,1213
"812","Zfp262",812,1214
"813","LOC383487",813,1216
"814","LOC272680",814,1218
"815","9330179O15Rik",815,1219
"816","9330180L21Rik",816,1221
"817","B230208L21Rik",817,1223
"818","LOC100043177",818,1224
"819","1810008K20Rik",819,1225
"820","EG664855",820,1227
"821","A330044P14Rik",821,1229
"822","LOC381018",822,1230
"823","1810049J17Rik",823,1231
"824","LOC385031",824,1232
"825","C530030I18Rik",825,1233
"826","A730058H24Rik",826,1235
"827","4931415K24Rik",827,1236
"828","LOC384302",828,1237
"829","Gm12017",829,1239
"830","LOC385198",830,1240
"831","LOC382321",831,1241
"832","LOC100043898",832,1243
"833","D030063F01Rik",833,1245
"834","2900042B11Rik",834,1247
"835","LOC212970",835,1248
"836","D430050G20",836,1249
"837","4933437C06Rik",837,1251
"838","Btnl7-pending",838,1252
"839","LOC384566",839,1253
"840","1700015F03Rik",840,1254
"841","LOC386402",841,1256
"842","LOC100044012",842,1257
"843","Gm10657",843,1258
"844","3830425H19Rik",844,1260
"845","LOC194612",845,1261
"846","Gm12034",846,1263
"847","LOC384329",847,1264
"848","E130007O11Rik",848,1265
"849","LOC381733",849,1267
"850","LOC384726",850,1268
"851","LOC672946",851,1270
"852","LOC386069",852,1271
"853","D930007B01Rik",853,1273
"854","LOC383433",854,1274
"855","LOC381844",855,1276
"856","LOC223628",856,1277
"857","Mon2",857,1277
"858","LOC238599",858,1278
"859","Gm1818",859,1280
"860","LOC384687",860,1281
"861","LOC100048055",861,1283
"862","LOC230461",862,1285
"863","9530031H08Rik",863,1286
"864","LOC384312",864,1288
"865","LOC667386",865,1290
"866","LOC236737",866,1291
"867","LOC333749",867,1292
"868","A630051D19Rik",868,1293
"869","E030027H19Rik",869,1295
"870","EG639644",870,1296
"871","LOC270533",871,1298
"872","D830013M18Rik",872,1299
"873","4921531P07Rik",873,1300
"874","Hnrnpab",874,1301
"875","LOC383859",875,1302
"876","C230060D12Rik",876,1303
"877","LOC242607",877,1304
"878","LOC218767",878,1306
"879","9130423G08Rik",879,1307
"880","Rpl28",880,1307
"881","LOC278265",881,1308
"882","LOC622901",882,1309
